run_date,site,url,strategy,perf_score,field_source,field_overall,field_LCP_ms,field_LCP_cat,field_INP_ms,field_INP_cat,field_CLS,field_CLS_cat,field_FCP_ms,field_FCP_cat,field_TTFB_ms,field_TTFB_cat,lab_LCP_ms,lab_CLS,lab_TBT_ms,lab_FCP_ms,lab_SI_ms,error
2026-08-03,Premier LA Perio,https://laperioimplantcenter.com/privacy-policy/,mobile,97,none,,,,,,,,,,,,2327,0.065,22,1177,1947,
2026-08-03,Premier LA Perio,https://laperioimplantcenter.com/terms-of-service/,mobile,98,none,,,,,,,,,,,,2402,0,0,912,912,
2026-08-03,Premier LA Perio,https://laperioimplantcenter.com/local-service-areas/,mobile,91,none,,,,,,,,,,,,3527,0.001,17,946,1655,
2026-08-03,Premier LA Perio,https://laperioimplantcenter.com/about-dr-tina-jung/,mobile,98,none,,,,,,,,,,,,2402,0.019,0,991,1662,
2026-08-03,Premier LA Perio,https://laperioimplantcenter.com/contact/,mobile,79,none,,,,,,,,,,,,5927,0,6,922,1480,
2026-08-03,Premier LA Perio,https://laperioimplantcenter.com/local-service-areas/westwood/,mobile,79,none,,,,,,,,,,,,5927,0.001,0,931,1745,
2026-08-03,Premier LA Perio,https://laperioimplantcenter.com/local-service-areas/santa-monica/,mobile,66,none,,,,,,,,,,,,6575,0,81,3714,4943,
2026-08-03,Premier LA Perio,https://laperioimplantcenter.com/local-service-areas/culver-city/,mobile,64,none,,,,,,,,,,,,7426,0,100,3724,5202,
2026-08-03,Premier LA Perio,https://laperioimplantcenter.com/local-service-areas/west-la/,mobile,67,none,,,,,,,,,,,,9152,0.001,16,3677,3677,
2026-08-03,Premier LA Perio,https://laperioimplantcenter.com/local-service-areas/brentwood/,mobile,94,none,,,,,,,,,,,,3002,0,0,943,3037,
2026-08-03,Premier LA Perio,https://laperioimplantcenter.com/before-afters/,mobile,82,none,,,,,,,,,,,,4952,0.001,0,952,952,
2026-08-03,Premier LA Perio,https://laperioimplantcenter.com/sedation-comfort/,mobile,97,none,,,,,,,,,,,,2552,0,0,927,2587,
2026-08-03,Premier LA Perio,https://laperioimplantcenter.com/gum-disease-treatment/,mobile,92,none,,,,,,,,,,,,3377,0.001,0,944,1625,
2026-08-03,Premier LA Perio,https://laperioimplantcenter.com/laser-gum-treatment/,mobile,90,none,,,,,,,,,,,,3659,0.003,0,972,2039,
2026-08-03,Premier LA Perio,https://laperioimplantcenter.com/cosmetic-periodontics/,mobile,95,none,,,,,,,,,,,,2955,0.03,0,938,1808,
2026-08-03,Premier LA Perio,https://laperioimplantcenter.com/dental-implants/,mobile,90,none,,,,,,,,,,,,3451,0,0,928,3790,
2026-08-03,Premier LA Perio,https://laperioimplantcenter.com/teeth-in-a-day/,mobile,90,none,,,,,,,,,,,,3602,0.002,77,1084,2107,
2026-08-03,Premier LA Perio,https://laperioimplantcenter.com/treating-failed-dental-implants/,mobile,95,none,,,,,,,,,,,,3002,0.003,10,1065,1902,
2026-08-03,Premier LA Perio,https://laperioimplantcenter.com/initial-consultation/,mobile,94,none,,,,,,,,,,,,3002,0,0,934,2761,
2026-08-03,Premier LA Perio,https://laperioimplantcenter.com/testimonials/,mobile,99,none,,,,,,,,,,,,2102,0,0,949,2247,
2026-08-03,Premier LA Perio,https://laperioimplantcenter.com/state-of-the-art-technology/,mobile,95,none,,,,,,,,,,,,2852,0.003,0,944,2494,
2026-08-03,Premier LA Perio,https://laperioimplantcenter.com/accessibility-statement/,mobile,96,none,,,,,,,,,,,,2327,0,0,980,4015,
2026-08-03,Premier LA Perio,https://laperioimplantcenter.com/los-angeles-dental-collective/,mobile,100,none,,,,,,,,,,,,1678,0.024,0,933,1775,
2026-08-03,Premier LA Perio,https://laperioimplantcenter.com/online-referral-form/,mobile,84,none,,,,,,,,,,,,2027,0.289,30,914,3268,
2026-08-03,Premier LA Perio,https://laperioimplantcenter.com/finances-insurance/,mobile,95,none,,,,,,,,,,,,2702,0,0,944,3692,
2026-08-03,Premier LA Perio,https://laperioimplantcenter.com/about-la-periodontics-dental-implant-center/,mobile,78,none,,,,,,,,,,,,5702,0,0,942,3625,
2026-08-03,Premier LA Perio,https://laperioimplantcenter.com/why-choose-us/,mobile,97,none,,,,,,,,,,,,2552,0,0,926,1007,
2026-08-03,Premier LA Perio,https://laperioimplantcenter.com/gum-graft/,mobile,87,none,,,,,,,,,,,,3979,0,0,910,2551,
2026-08-03,Premier LA Perio,https://laperioimplantcenter.com/post-operative-instructions/,mobile,96,none,,,,,,,,,,,,2702,0.001,0,942,2210,
2026-08-03,Premier LA Perio,https://laperioimplantcenter.com/,mobile,85,none,,,,,,,,,,,,4327,0.009,0,951,2728,
2026-08-03,Premier LA Perio,https://laperioimplantcenter.com/privacy-policy/,mobile,97,none,,,,,,,,,,,,2327,0,0,964,3809,
2026-08-03,Premier LA Perio,https://laperioimplantcenter.com/terms-of-service/,mobile,98,none,,,,,,,,,,,,2327,0,0,930,2309,
2026-08-03,Premier LA Perio,https://laperioimplantcenter.com/local-service-areas/,mobile,91,none,,,,,,,,,,,,3527,0,0,939,1634,
2026-08-03,Premier LA Perio,https://laperioimplantcenter.com/about-dr-tina-jung/,mobile,94,none,,,,,,,,,,,,2927,0,0,943,3747,
2026-08-03,Premier LA Perio,https://laperioimplantcenter.com/contact/,mobile,64,none,,,,,,,,,,,,9077,0,16,3701,5054,
2026-08-03,Premier LA Perio,https://laperioimplantcenter.com/local-service-areas/westwood/,mobile,75,none,,,,,,,,,,,,9002,0.001,0,943,2771,
2026-08-03,Premier LA Perio,https://laperioimplantcenter.com/local-service-areas/santa-monica/,mobile,66,none,,,,,,,,,,,,6598,0,39,3698,5197,
2026-08-03,Premier LA Perio,https://laperioimplantcenter.com/local-service-areas/culver-city/,mobile,85,none,,,,,,,,,,,,4277,0.001,0,946,2248,
2026-08-03,Premier LA Perio,https://laperioimplantcenter.com/local-service-areas/west-la/,mobile,65,none,,,,,,,,,,,,9152,0,25,3678,4955,
2026-08-03,Premier LA Perio,https://laperioimplantcenter.com/local-service-areas/brentwood/,mobile,94,none,,,,,,,,,,,,3077,0,12,952,1466,
2026-08-03,Premier LA Perio,https://laperioimplantcenter.com/before-afters/,mobile,85,none,,,,,,,,,,,,4316,0.002,0,939,2179,
2026-08-03,Premier LA Perio,https://laperioimplantcenter.com/sedation-comfort/,mobile,97,none,,,,,,,,,,,,2552,0.004,0,953,1956,
2026-08-03,Premier LA Perio,https://laperioimplantcenter.com/gum-disease-treatment/,mobile,99,none,,,,,,,,,,,,2102,0,0,935,938,
2026-08-03,Premier LA Perio,https://laperioimplantcenter.com/laser-gum-treatment/,mobile,93,none,,,,,,,,,,,,3189,0,0,926,2569,
2026-08-03,Premier LA Perio,https://laperioimplantcenter.com/cosmetic-periodontics/,mobile,92,none,,,,,,,,,,,,3175,0,0,930,3605,
2026-08-03,Premier LA Perio,https://laperioimplantcenter.com/dental-implants/,mobile,91,none,,,,,,,,,,,,3527,0.003,0,1037,1516,
2026-08-03,Premier LA Perio,https://laperioimplantcenter.com/teeth-in-a-day/,mobile,90,none,,,,,,,,,,,,3602,0,0,948,2457,
2026-08-03,Premier LA Perio,https://laperioimplantcenter.com/treating-failed-dental-implants/,mobile,93,none,,,,,,,,,,,,3060,0,0,973,3035,
2026-08-03,Premier LA Perio,https://laperioimplantcenter.com/initial-consultation/,mobile,94,none,,,,,,,,,,,,3002,0,0,951,2406,
2026-08-03,Premier LA Perio,https://laperioimplantcenter.com/testimonials/,mobile,97,none,,,,,,,,,,,,2552,0,0,932,2415,
2026-08-03,Premier LA Perio,https://laperioimplantcenter.com/state-of-the-art-technology/,mobile,96,none,,,,,,,,,,,,2852,0.001,0,942,942,
2026-08-03,Premier LA Perio,https://laperioimplantcenter.com/accessibility-statement/,mobile,98,none,,,,,,,,,,,,2327,0,0,910,2428,
2026-08-03,Premier LA Perio,https://laperioimplantcenter.com/los-angeles-dental-collective/,mobile,99,none,,,,,,,,,,,,2027,0.031,0,910,910,
2026-08-03,Premier LA Perio,https://laperioimplantcenter.com/online-referral-form/,mobile,82,none,,,,,,,,,,,,2027,0.282,163,937,3302,
2026-08-03,Premier LA Perio,https://laperioimplantcenter.com/finances-insurance/,mobile,97,none,,,,,,,,,,,,2552,0.003,0,978,2417,
2026-08-03,Premier LA Perio,https://laperioimplantcenter.com/about-la-periodontics-dental-implant-center/,mobile,79,none,,,,,,,,,,,,5702,0,0,933,933,
2026-08-03,Premier LA Perio,https://laperioimplantcenter.com/why-choose-us/,mobile,97,none,,,,,,,,,,,,2552,0,0,931,2796,
2026-08-03,Premier LA Perio,https://laperioimplantcenter.com/gum-graft/,mobile,87,none,,,,,,,,,,,,4053,0,0,947,2533,
2026-08-03,Premier LA Perio,https://laperioimplantcenter.com/post-operative-instructions/,mobile,96,none,,,,,,,,,,,,2702,0.002,0,943,2287,
